backend,caware,nodes,tasks,elements,DoFs,mean-perf,mean-perf-per-GPU
opencl,0,1,1.0,32,38132480,1123578134.217565,1123578134.217565
opencl,0,1,1.0,64,320060160,1344451445.425865,1344451445.425865
opencl,0,1,2.0,32,38132480,2556582392.984302,1278291196.492151
opencl,0,1,2.0,96,1097440000,2198252578.079541,1099126289.0397706
opencl,0,1,2.0,64,320060160,2616489979.646481,1308244989.8232405
opencl,0,1,4.0,128,2621930240,5219393379.902886,1304848344.9757216
opencl,0,1,4.0,32,38132480,4018049178.589287,1004512294.6473217
opencl,0,1,4.0,64,320060160,4995366935.932998,1248841733.9832494
opencl,0,1,4.0,96,1097440000,5106763550.746834,1276690887.6867085
opencl,0,2,8.0,32,38132480,3874714861.141725,484339357.64271563
opencl,0,2,8.0,128,2621930240,9119256923.679617,1139907115.459952
opencl,0,2,8.0,64,320060160,7189346118.305696,898668264.788212
opencl,0,2,8.0,96,1097440000,8939714829.136494,1117464353.6420617
opencl,0,4,16.0,96,1097440000,14221791698.345629,888861981.1466018
opencl,0,4,16.0,128,2621930240,16272748388.64124,1017046774.2900774
opencl,0,4,16.0,32,38132480,1968035198.126033,123002199.88287707
opencl,0,4,16.0,64,320060160,11353705907.6201,709606619.2262563
opencl,0,8,32.0,64,320060160,10371497328.410122,324109291.5128163
opencl,0,8,32.0,32,38132480,1263253044.234407,39476657.63232522
opencl,0,8,32.0,128,2621930240,27651253865.558533,864101683.2987041
opencl,0,8,32.0,96,1097440000,22563653423.040478,705114169.4700149
