backend,caware,tasks,elements,DoFs,mean-perf
cuda,0,1.0,32,38132480.0,1646827759.248924
cuda,0,2.0,32,38132480.0,2451936833.030617
cuda,0,4.0,32,38132480.0,3483997174.32629
cuda,0,8.0,32,38132480.0,3563255776.00208
cuda,0,16.0,32,38132480.0,3558952685.503355
cuda,0,32.0,32,38132480.0,4004619707.194057
cuda,0,64.0,32,38132480.0,4420625038.435567
opencl,0,1.0,32,38132480.0,1606733519.512344
opencl,0,2.0,32,38132480.0,2567641588.907004
opencl,0,4.0,32,38132480.0,3479160570.659013
opencl,0,8.0,32,38132480.0,3158443122.580983
opencl,0,16.0,32,38132480.0,2582989226.769877
opencl,0,32.0,32,38132480.0,2163726475.590993
opencl,0,64.0,32,38132480.0,2354132546.402544
cuda,1,1.0,32,38132480.0,1645781119.564381
cuda,1,2.0,32,38132480.0,3173697112.575652
cuda,1,4.0,32,38132480.0,5994989859.328449
cuda,1,8.0,32,38132480.0,4395902554.347746
cuda,1,16.0,32,38132480.0,4088327463.346229
cuda,1,32.0,32,38132480.0,3802988111.286147
cuda,1,64.0,32,38132480.0,3877770280.479359
cuda,0,1.0,64,320060160.0,1643657695.916504
cuda,0,2.0,64,320060160.0,2844090836.902306
cuda,0,4.0,64,320060160.0,4529496446.146836
cuda,0,8.0,64,320060160.0,6319975087.572284
cuda,0,16.0,64,320060160.0,9095418790.494051
cuda,0,32.0,64,320060160.0,12506071008.121468
cuda,0,64.0,64,320060160.0,16401335238.73907
opencl,0,2.0,64,320060160.0,2923555723.549289
opencl,0,4.0,64,320060160.0,4773958354.077486
opencl,0,8.0,64,320060160.0,6544329578.197428
opencl,0,16.0,64,320060160.0,8542315099.867009
opencl,0,32.0,64,320060160.0,10401010669.95292
opencl,0,64.0,64,320060160.0,12712938075.031155
cuda,1,1.0,64,320060160.0,1643661984.116712
cuda,1,2.0,64,320060160.0,3227075065.049093
cuda,1,4.0,64,320060160.0,6475885258.42829
cuda,1,8.0,64,320060160.0,9041888697.082926
cuda,1,16.0,64,320060160.0,11418375170.453194
cuda,1,32.0,64,320060160.0,14325766083.230162
cuda,1,64.0,64,320060160.0,17956502705.756676
cuda,0,2.0,96,1097440000.0,2985478599.777238
cuda,0,4.0,96,1097440000.0,5149288761.216609
cuda,0,8.0,96,1097440000.0,7772350644.75182
cuda,0,16.0,96,1097440000.0,12047914638.083315
cuda,0,32.0,96,1097440000.0,16712536546.480043
cuda,0,64.0,96,1097440000.0,27133545548.569283
opencl,0,8.0,96,1097440000.0,6165989423.075299
opencl,0,16.0,96,1097440000.0,12208027357.71553
opencl,0,32.0,96,1097440000.0,16375095252.066942
opencl,0,64.0,96,1097440000.0,22705217467.948257
cuda,1,2.0,96,1097440000.0,3224349090.074049
cuda,1,4.0,96,1097440000.0,6493585195.660438
cuda,1,8.0,96,1097440000.0,10544380984.730732
cuda,1,16.0,96,1097440000.0,14830451334.722261
cuda,1,32.0,96,1097440000.0,19374406599.523724
cuda,1,64.0,96,1097440000.0,30100431648.712406
cuda,0,4.0,128,2621930240.0,5541138880.78811
cuda,0,8.0,128,2621930240.0,8836774728.408018
cuda,0,16.0,128,2621930240.0,13984258123.109737
cuda,0,32.0,128,2621930240.0,20795530464.360096
cuda,0,64.0,128,2621930240.0,32765611521.207024
opencl,0,16.0,128,2621930240.0,14521264844.840832
opencl,0,32.0,128,2621930240.0,22028331543.41467
opencl,0,64.0,128,2621930240.0,32780917677.499466
cuda,1,4.0,128,2621930240.0,6435123795.945714
cuda,1,8.0,128,2621930240.0,11071134849.34911
cuda,1,16.0,128,2621930240.0,16366613793.043934
cuda,1,32.0,128,2621930240.0,25548585863.92386
cuda,1,64.0,128,2621930240.0,38351097147.30583
